,code,name,cr,Prerequisites,description,cross_listes,when_offered,Notes
32,ANTH 000/2007,Anthropology of the Occupied: Palestine/ Israel,3 cr, N," What does it mean to be occupied? How do those who are occupied experience their worlds? In this course we look at the experience of being occupied in Palestine/ Israel. Specifically, we look at the everyday lives of Palestinians through the eyes, ears, and words of Palestinians through a series of media, including ethnography, literature and poetry, documentary, cinema, visual and video art, each offering a valuable insight into the social, cultural, historical and political conditions of being occupied. Our objective across these readings and different media is to consider the Palestinian experience of being occupied with the goal of acquiring the analytic and critical tools for thinking about other experiences of being occupied", N, N,N
33,ANTH 299/2099,Selected Topics for Core Curriculum,3 cr, N," Course addressing broad intellectual concerns and accessible to all students, irrespective of major.", N," Offered occasionally.,",N
34,ANTH 202/2101,Cultural Anthropology,3 cr, N," Cultural anthropology is an exploration of human diversity and what we have in common. It is a journey of questioning, understanding, and respecting the rich and complex tapestry of human practices, beliefs, and expressions we call “culture.” In this course we will encounter a wide variety of practices and beliefs, including our own, and we will examine how these are related to global power relations; also, we will explore how anthropologists, with their own particular ideological and theoretical perspectives, attempt to understand these matters.", N," Offered in fall and spring.,",N
35,ANTH 240/2201,Introduction to Community Development,3 cr, N, Introduces the students to the different concepts and approaches to community development as well as to community organizing. Utilizes a critically reflective framework as part of the curriculum to overcome the potential division between theory and practice. Identifies the key issues that the students are likely to confront in community development and organizing work.," Same as ,SOC 2201, ,/,PSYC 2201, ,."," Offered in fall.,",N
36,ANTH 302/3015,Global Families: Kinship and Relatedness in Late Modernity,3 cr, Three hours of Social Sciences.," Transformation of family and kin structures and relations in present-day globalization. Impacts of urbanization, international migration, consumerism, economic and other factors on families and kin groups. Why and how people legitimize their kin relationships in the eyes of their community, their state, and their religion, and how different family structures are tied to naturalizing certain forms of power. Comparative perspectives from the Middle East and other world areas.", N," Offered in alternate years.,",N
37,ANTH 303/3020,Social Movements,3 cr, Three hours of Social Sciences.," Basic processes by which societies initiate, consolidate, transform, and change their basic institutions and social structures. Anatomy of reform and revolutionary social movements, especially those affecting Arab and Third World societies."," Same as ,SOC 3303, ,."," Offered in spring,",N
38,ANTH 320/3040,"States, Capital and Rural Lives",3 cr, Three hours of Social Sciences.," Analysis of dynamics of expanding state and capital relations into rural and pastoral communities, with special focus on property and labor relations, the social organization of production and exchange, politics and power relations, and the organization and practice of everyday life. The course draws on comparative ethnographic case studies from around the world.", N," Offered in alternate years.,",N
39,ANTH 321/3045,The Urban Experience,3 cr, Three hours of Social Sciences.," This course will explore a variety of approaches for the study of life in cities, providing students with tools to think critically about the meaning of urban life in the new century. Are cities the vibrant, vital centers of all that is exciting, new and provocative in modern life or are they the decaying, decadent and dangerous remnants of an industrial age whose time has past? How do we link the lives of corporate elites and pop icons with crack dealers and shanty town dwellers? How do we place migration, world capital flows, transnational media, and global consumption in our studies of city life?"," Same as ,SOC 3045, ,."," Offered in spring.,",N
40,ANTH 332/3060,"Social Constructions of Difference: Race, Class and Gender",3 cr, Three hours of Social Sciences.," The course will first introduce students to the vast theoretical literature on the concepts of race, ethnicity and class from sociology and anthropology. Second, the course will expect students to shift focus away from looking at different cultures to analyzing cultural productions of difference. In the course we will be concerned with how racial, ethnic and class identities are shaped by diverse hegemonic systems, modes of resistance, and the structuring of social relations in different societies."," Same as ,SOC 3060, ,."," Offered occasionally.,",N
41,ANTH 341/3070,Anthropology and Film,3 cr, Three hours of Social Sciences., The history and practice of film in anthropology; film as ethnography; comparison of films and analytical ethnographies. Additional Mandatory Lab Sessions for Film Screening.," Same as ,FILM 3041, , ."," Offered occasionally.,",N
42,ANTH 352/3075,Language in Culture,3 cr, Three hours of Social Sciences.," The role played by language in humankind’s symbolic relation to the world. Emphasis on linguistic analysis, ethnosemantics, sociolinguistics, expressive speech and language and socialization as these elucidate patterns of cognitive orientation."," Same as ,LING 3075, , ."," Offered occasionally.,",N
43,ANTH 360/3080,"Gender, Sexuality and Social Change",3 cr," ,ANTH 2101, , or consent of instructor."," An introduction to the study of gender ideologies, including a cross-cultural comparison of how genders are constructed to create different norms of masculine, feminine, and other categories linked to various forms of sexuality. Focus on analyzing how inequalities are maintained and contested over time through gendered discourses and practices at home, at work, and at local, national and international levels. Special emphasis on the uses of gender in justifying and challenging development agendas in the Global South.", N," Offered in alternate years.,",N
44,ANTH 370/3085,Environmental Issues in Egypt,3 cr, Three hours of Social Sciences.," The technical aspects of environmental issues in Egypt are examined taking into account the cultural, social, and political dimensions upsetting the balance of the environment. Major issues such as water scarcity, global warming, desertification, urban pollution, tourism, and demographic pressures are presented and analyzed."," Same as ,SOC 3085, ,."," Offered in alternate years.,",N
45,ANTH 372/3090,Public Anthropology,3 cr, Three hours of Social Sciences.," Cultural dynamics involved in social and economic change with special reference to Egypt and the Middle East. Community development, cooperatives, population studies, resettlement, health and education are some of the problems that may be discussed. Case studies and fieldwork.", N," Offered in alternate years.,",N
46,ANTH 309/3102,History of Social Theory,3 cr," Prerequisites: 9 hours of social sciences and junior or senior standing, or consent of instructor."," The nature and function of social theory and its development especially since the Enlightenment. Emphasis on the cumulative insights and ideas which have contributed to modern social theory. The essential aspects of the philosophy of social science, especially epistemological problems in the sciences of sociology and anthropology."," Same as ,SOC 3102, ,."," Offered in fall.,",N
47,ANTH 311/3104,Contemporary Anthropological Theory,3 cr," ,ANTH 3102, , or consent of instructor."," .Introduces major theories and theorists in the recent history of anthropology and provides a broad vision of the development of the discipline and of contemporary anthropological thought. The course also covers the development of the ethnographic method, important paradigms such as structural-functionalism, and recent critical theory.", N," Offered in spring,",N
48,ANTH 380/3105,Fieldwork Methods,3 cr," ,ANTH 2101, , and 6 credit hours of social sciences."," Logic and philosophy of qualitative methodology in anthropology and other social sciences. The process of research design, data collection, analysis and interpretation of results and final write-up is elaborated with specific reference to research conducted in Egypt, the wider Arab and Middle Eastern worlds and elsewhere. Discussion of the politics and ethics of fieldwork, including protection of the rights of human participants in research projects.", N," Offered in fall and spring.,",N
49,ANTH 340/3202,Participatory Action Research in Community Settings,3 cr, N," This course will introduce students to the appropriate research methodologies when dealing with community organizing and development, particularly the participatory action research approach to community development."," Same as ,PSYC 3202, , / ,SOC 3202, , ."," Offered in fall.,",N
50,ANTH 312/3301,Anthropologies of Middle East and North Africa,3 cr, 3 hours of Social Sciences.," Analysis of contemporary debates in anthropological engagements with and in the Middle East and North Africa. The course explores the histories of ethnographic research in the Middle East and North Africa, colonialism and post-independence experiences, power and representation, performance and the arts, religious sensibilities, gender and kinship networks.", N," ,Offered occasionally,",N
51,ANTH 382/3302,Anthropologies of Africa,3 cr, Three hours of Social Sciences.," Analysis of contemporary debates in anthropological engagements with and in Africa. The course explores the histories of ethnographic research in Africa, colonialism and post-independence experiences, power and representation, performance and the arts, religious sensibilities and kinship networks.", N," ,Offered occasionally,",N
52,ANTH 384/3303,Anthropologies of Latin America,3 cr," ,Three hours of Social Sciences"," Analysis of contemporary debates in anthropological engagements with and in Latin America. The course explores the histories of ethnographic research in Latin America, colonialism and post-independence experiences, power and representation, performance and the arts, religious sensibilities, gender and kinship networks.", N," ,Offered occasionally,",N
53,ANTH 386/3304,Anthropologies of Asia,3 cr, Three hours of Social Sciences," Analysis of contemporary debates in anthropological engagements with and in Asia. The course explores the histories of ethnographic research in Asia, colonialism and post­-independence experiences, power and representation, performance and the arts, religious sensibilities, gender and kinship networks.", N," Offered in alternate years.,",N
54,ANTH 390/3305,Selected People and Culture Areas,3 cr, Three hours of Social Sciences.," Areas to be chosen according to specific interest and faculty expertise. Examples of possible areas are: peoples and cultures of the ancient world, of the Mediterranean, and of the United States.", N, Offered occasionally.,N
55,ANTH 407/4015,Psychological Anthropology,3 cr," Three hours of Anthropology, 6 hours of Social Sciences, and junior or senior standing."," Interdisciplinary and cross-cultural approach to the study of the reciprocal relations of culture and personality; special focus on themes of identity, socialization and the emergence of self in various cultural settings."," Same as ,PSYC 4015, ,."," Offered occasionally.,",N
56,ANTH 000/4020,Anthropology of Violence,3 cr, 9 hours of social science," This course examines the analytical object “violence” in its differentiated dimensions. What we think of as violence encompasses multiple phenomena that cannot only be understood as forces of destruction: violence must be grasped as also generative of life-worlds. The course inquires into the nature of violence, explores its epistemological and existential, sensual and structural, exceptional and ordinary dimensions, and forms", N, N,N
57,ANTH 422/4025,Religion in a Global World,3cr, Prerequisites: 9 hours of social sciences and junior or senior standing.," Comparative study of religion in culture and society. The course will explore a variety of theories and controversies in the anthropological understanding of religion. Emphasis is on how religion may restrict but also empower believers, inform their social identities, and intersect with political and economic practices and institutions in a globalizing world."," Same as ,SOC 4025, ,."," Offered in fall.,",N
58,ANTH 425/4030,"Women, Islam and the State",3 cr, 9 hours of Social Sciences and Junior or Senior standing.," An anthropological perspective on the politics of gender in Muslim societies, with an emphasis on the Middle East. The relationship between religion and society, especially the cultural construction of gender hierarchies within the discourses of Islam and the realities of Muslim women’s lives. The articulation of the impact of modern states on gender hierarchies.", N," Offered annually.,",N
59,ANTH 450/4050,Critical Approaches to Development,3 cr, Prerequisites: 9 hours of social sciences and junior or senior standing., Contemporary theories of development as they apply to and illuminate the problems of development in underdeveloped countries. The approach will be interdisciplinary.," Same as ,SOC 4106, , ."," Offered in fall and spring.,",N
60,ANTH 455/4055,Seminar in African Studies,3 cr, 9 hours of Social Sciences and Junior or Senior standing.," Through the examination of a contemporary topic in African Studies, this interdisciplinary seminar examines epistemological and methodological issues in African Studies such as transformation, resistance, power, technology, and women and development. Original sources will be used to examine the theoretical assumptions, data and methods underlying the literature. Prior course work in African Studies is recommended."," Same as,SOC 4055,"," Offered occasionally.,",N
61,ANTH 462/4065,"Culture, Economy and the Everyday",3 cr, 9 hours of social sciences and junior or senior standing.," Examination of how anthropology has approached the study of economic practices, ideas and institutions in different cultural contexts. By following the main theoretical paradigms in economic anthropology, the course will address the cultural assumptions and power dynamics in defining what an economy is and how people go about producing, consuming and exchanging goods, commodities, gifts, services, as well as social relationships. Ethnographic case studies will explicate the power relations underlying the pursuit of economic lives, the centrality of gender, class, race, kinship and ethnic relations in shaping production, consumption and exchange, and the ramifications of global markets on peoples’ livelihoods and identities.", N," Offered in alternate years.,",N
62,ANTH 492/4070,Political Anthropology,3 cr, 9 hours of Social Sciences and Junior or Senior standing.," This course examines the contribution of anthropology to the comparative study of political organization and the exercise of power. It reviews classical anthropological approaches to politics in non-state and non-Western state societies. The course also examines political organization in postcolonial and global contexts, including such topics as nationalism, migration, transnational mobilization, ethnic identity and flexible citizenship, and the use of media technologies in developing political subjectivities. There is an emphasis on theoretical perspectives.", N," Offered in alternate years.,",N
63,ANTH 000/4075,Migrants and Transnationals,3 cr," 9 hours of Social Sciences and Junior or Senior standing.,"," The course examines the experiences and relationships of people who move across states and national boundaries and whose identifying labels range from migrants, transnationals, guest-workers, exiles, refugees, and diaspora, among others. One underlying thread is that of dislocation and movement, while maintaining connections - real, symbolic and imagined - between disparate places and peoples", N, N,N
64,ANTH 400/4099,Selected Topics in Anthropology,3 cr," Prerequisites: 9 hours of social sciences, and junior or senior standing."," .Topics to be chosen according to specific interest, such as: agrarian transformation, desert development, sex roles, cognitive anthropology, anthropology and education; nationalism, colonialism and postcolonialism; tourism in social science; and anthropology of the city.", N, Offered occasionally,N
65,ANTH 495/4107,Senior Seminar,3 cr," Senior standing and ,SOC 3105, , or ,ANTH 3105, , or 12 hours of Social Sciences."," Emphasis on current methodological trends in anthropology and sociology reflecting the research interests of the faculty and students, and drawing on the experience of the undergraduate career."," Same as ,SOC 4107, ,.", Offered in spring.," Content may therefore vary from year to year. The student will be required to write a methodologically sound senior paper, preferably based on field research"
66,ANTH 440/4203,Practicum in Community Development,3 cr, Six hours of social sciences or consent of the instructor.," One semester, field experience in an approved international development agency, local NGO or other professional setting approved by faculty supervisor. Supervised by a faculty supervisor."," Same as ,PSYC 4203, , and ,SOC 4203, ,."," Offered in spring.,",N
67,ANTH 402/4405,Independent Study,1-3 cr," Prerequisites: a minimum B average, consent of the instructor, and approval by the unit head and the department chair.", In exceptional circumstances some senior majors with departmental approval may arrange to study beyond the regular course offerings., N, Offered in fall and spring.,N
68,ANTH 445/4499,Selected Topics in Coptic Studies,3 cr, N," This course allows instructors to offer a topic in Coptic Studies. The topic will be chosen from year to year in coordination with the departments concerned and the dean of the School of HUSS, and according to the individual interests and areas of expertise of the instructors. Topics chosen may include various aspects of Coptic art and history, monasticism, folklore, or other subjects.."," Same as ,ARIC 5132, , , ,EGPT 5160, , , ,HIST 4905, , , ,SOC 4499, , ."," Offered in fall.,Repeatable, The course may be taken more than once if the topic changes", Students in these majors may petition preferably before registration to have the course included in their major requirements
69,ANTH 460/4560,Development Studies Seminar,3 cr, 12 credit hours of social science.," Interdisciplinary and comparative analysis of development as a process and as a historical phenomenon. Critical evaluation of economic, political, social and cultural technological and managerial factors that structure developmental change."," Same as ,POLS 4560, ,/,SOC 4560, ,."," Offered occasionally.,Applied Linguistics,",N
70,APLN 510/5100,Methods of TESOL I,3 cr, None.," This course provides a survey of learning theories, individual learning styles and strategies as they relate to the teaching and learning processes. It also offers a critical analysis of major approaches and methods of teaching foreign languages. The course includes classroom observations and limited practice teaching."," Same as ,APLN 5203, , .,", N,N
71,APLN 515/5101,The Phonetics of Arabic,3 cr, N," Phonetics of Arabic as it is spoken at various levels in Egypt, studied in light of modern phonetic theory. Reference is made to the phonetics of both Egyptian colloquial Arabic and the Arabic of the early Islamic era as described by the early Arab phoneticians. Taught in Arabic and/or English.", N," Offered in the fall.,",N
72,APLN 516/5102,The Linguistics of Arabic,3 cr, N," History and development of the Arabic Language and Linguistics. Particular attention will be given to topics such as: Major events that shaped Arabic throughout History, the codification of the language, Arab linguistics theory and its contributions to the study of syntax. Morphology, and lexicography, the various schools of thought among Arab philologists in the light of modern linguistic theory and language situation in Arabic society. Taught in Arabic and/or English.", N," Offered in alternate years.,",N
73,APLN 551/5103,Advanced Arabic Grammar,3 cr, N, An examination of the basic concepts in traditional Arabic grammar using modern linguistic theories with the aim of suggesting alternative methods of analysis and formalization. Taught in Arabic., N," Offered in fall and spring.,",N
74,APLN 503/5104,Second Language Acquisition,3 cr, None.," This course investigates the relationship between first and second language acquisition. Topics addressed include aspects of acquisition from a psycholinguistic perspective and cognitive, linguistic, personality and classroom factors influencing SLA. The course also provides a wide range of Implications for language teaching and learning."," Same as ,APLN 5202, , .,", N,N
75,APLN 500/5105,English Grammar,3 cr, N, This course provides a descriptive overview of the structure of English and a detailed analysis of major grammatical constructions. It also offers a wide range of implications for language teaching and learning, N, N,N
76,APLN 563/5111,Language Variation and Change,3 cr, N, This course investigates Arabic language variation and change within the framework of variation theories and with respect to the particularities of Arabic as a multiglossic language. Both written and spoken discourse is analysed with special attention to formal spoken or educated spoken Arabic. The course provides a practical approach to dealing with Arabic language corpora and trains students to analyse linguistic data, N, N,N
77,APLN 000/5124,Introduction to Computational Linguistics,3 cr, APLN 5021," An introduction to the fundamental concepts of computational linguistics, which is an interdisciplinary field at the nexus of linguistics and computer science. Topics include: publicly available language processing tools and resources, finite state automata, probability theory and frequency distributions, classification, clustering, and semi-supervised machine learning. Hands-on experience with using and developing regular expressions, morphological analyzers, part-of-speech taggers, syntactic parsers, and semantic interpreters", N, N,N
78,APLN 000/5132,Language and Politics,3 cr," , APLN 501/5301 - Principles of Linguistic Analysis (3 cr.), ,", This course explores how language reflects and makes political thought and ideologies. It will also shed light on issues of language and national identity, N, N,N
79,APLN 501/5201,Principles of Linguistic Analysis,3 cr, N," Concepts fundamental to linguistic analysis in the areas of syntax, semantics, phonology, historical linguistics, sociolinguistics, and language acquisition."," Same as ,APLN 5301, , ."," Offered in fall.,",N
80,APLN 503/5202,Second Language Acquisition,3 cr," ,APLN 5201, , or permission of the department. Recommended prerequisite: ,APLN 5302, , ."," Relationship between first and second language acquisition. Aspects of acquisition from a psycholinguistic perspective. Cognitive, linguistic, personality and classroom factors influencing SLA. Applications for teaching."," Same as ,APLN 5104, , ."," Offered in fall and spring.,",N
81,APLN 510/5203,Methods of Teaching a Foreign Language I,3 cr, N," Survey of learning theories, individual learning styles and strategies as they relate to the teaching and learning processes. Examination and critical analysis of major approaches and methods of teaching foreign languages. The course includes classroom observations and limited practice teaching."," Same as ,APLN 5100, , ."," Offered consecutively with ,APLN 5204, , .,",N
82,APLN 511/5204,Methods of Teaching Arabic to Non-native Speakers II,3 cr," ,APLN 5203, ,"," ,Survey of teaching practices and pedagogical concerns pertaining to teaching of Arabic to non-native speakers with focus on how the language system and its diglossic nature affect the process of teaching the various language skills. The teaching practicum includes observation of classrooms, material development and supervised teaching of Arabic to speakers of other languages,", N, N,N
83,APLN 553/5205,Sociolinguistics,3 cr, N," The effect of social phenomena on linguistic form. Languages, dialects, and speech communities. Multilingual societies, diglossia, code choice. Regional, social and linguistic variation. Terms of address. Language attitudes. Language and ethnicity. Language maintenance and shift. Language and gender. Language planning and standardization. Sociolinguistic aspects of education."," Same as ,APLN 5331, , ."," Offered once a year.,",N
84,APLN 555/5206,Seminar on Challenges Facing AFL Teachers,3 cr," ,APLN 5205, ,"," ,The course provides the intellectual basis, as distinct from methods of teaching, for the design of curriculum and the teaching of the different language skills of Arabic to speakers of other languages. Special attention is given to four areas: The Alphabet’s historical development and variation; vocabulary scope, the root system and Arabic derivational system; syntax, historical development and recent attempts for simplifications; language levels, diglossia, multiglossia and language continuum in Egypt", N, N,N
