major_code,course_number,semester
ECNG,2101,spring
ECNG,2101,summer
ECNG,2105,fall
ECNG,2105,spring
ECNG,2106,fall
ECNG,2106,spring
ECNG,2108,fall
ECNG,2108,spring
ECNG,2108,summer
ECNG,2109,fall
ECNG,2109,spring
ECNG,3105,fall
ECNG,3105,spring
ECNG,3106,fall
ECNG,3106,spring
ECNG,3108,fall
ECNG,3108,spring
ECNG,3109,fall
ECNG,3109,spring
ECNG,3201,fall
ECNG,3201,spring
ECNG,3401,fall
ECNG,3401,spring
ECNG,3503,fall
ECNG,3503,spring
ECNG,3509,fall
ECNG,3509,spring
ECNG,3601,fall
ECNG,3601,spring
ECNG,4301,fall
ECNG,4301,spring
ECNG,4302,fall
ECNG,4302,spring
ECNG,4306,fall
ECNG,4306,spring
ECNG,4314,fall
ECNG,4314,spring
ECNG,4402,fall
ECNG,4402,spring
ECNG,4505,fall
ECNG,4505,spring
ECNG,4508,fall
ECNG,4508,spring
ECNG,4920,fall
ECNG,4920,spring
ECNG,4950,fall
ECNG,4950,spring
ECNG,4980,fall
ECNG,4980,spring
ECNG,4981,fall
ECNG,4981,spring
ECON,1099,fall
ECON,1099,spring
ECON,2011,fall
ECON,2011,spring
ECON,2021,fall
ECON,2021,spring
ECON,2051,fall
ECON,2051,spring
ECON,2061,fall
ECON,2061,spring
ECON,2081,fall
ECON,2081,spring
ECON,3021,fall
ECON,3021,spring
ECON,3053,fall
ECON,3053,spring
ECON,3061,fall
ECON,3061,spring
ECON,3071,fall
ECON,3071,spring
ECON,3081,fall
ECON,3081,spring
ECON,4000,fall
ECON,4000,spring
ECON,4013,spring
ECON,4014,fall
ECON,4014,spring
ECON,4015,fall
ECON,4015,spring
ECON,4031,fall
ECON,4031,spring
ECON,4050,spring
ECON,4061,fall
ECON,4081,fall
ECON,4082,fall
ECON,4091,fall
ECON,4091,spring
ECON,4094,fall
ECON,4094,spring
ECON,5213,fall
ECON,5215,spring
ECON,5231,spring
ECON,5233,spring
ECON,5241,fall
ECON,5242,spring
ECON,5251,fall
ECON,5252,spring
ECON,5257,spring
ECON,5259,spring
EGPT,2251,fall
EGPT,2252,spring
EGPT,3201,fall
EGPT,3202,spring
EGPT,3211,fall
EGPT,3212,spring
EGPT,5030,fall
EGPT,5030,spring
EGPT,5151,fall
EGPT,5153,spring
EGPT,5160,fall
ENGR,1001,fall
ENGR,1001,spring
ENGR,1005,fall
ENGR,1005,spring
ENGR,2102,fall
ENGR,2102,spring
ENGR,2104,fall
ENGR,2104,spring
ENGR,2112,fall
ENGR,2112,spring
ENGR,2122,fall
ENGR,2122,spring
ENGR,3202,fall
ENGR,3202,spring
ENGR,3222,fall
ENGR,3222,spring
ENGR,3322,fall
FILM,2201,fall
FILM,2201,spring
FILM,2201,summer
FILM,2211,fall
FILM,2211,spring
FILM,2211,summer
FILM,3130,fall
FILM,3130,spring
FILM,4250,spring
FILM,4402,fall
FILM,4402,spring
FINC,2101,fall
FINC,2101,spring
FINC,3201,fall
FINC,3201,spring
FINC,4202,fall
FINC,4202,spring
FINC,4301,fall
FINC,4301,spring
FINC,5202,fall
FINC,5202,spring
GWST,5100,fall
GWST,5205,spring
HIST,2901,fall
HIST,2902,spring
HIST,3210,fall
HIST,3211,spring
HIST,3212,fall
HIST,4905,fall
INTB,4601,fall
INTB,4601,spring
JRMC,5200,fall
JRMC,5202,spring
JRMC,5204,spring
JRMC,5240,fall
JRMC,5250,fall
JRMC,5260,spring
JRMC,5270,spring
JRMC,5280,fall
LAW,4371,fall
LAW,4371,spring
LAW,5201,spring
LAW,5203,spring
LAW,5205,spring
LAW,5207,fall
LAW,5208,spring
LAW,5209,fall
LAW,5211,spring
LAW,5216,fall
LAW,5221,fall
MACT,1111,fall
MACT,1111,spring
MACT,1121,fall
MACT,1121,spring
MACT,1122,fall
MACT,1122,spring
MACT,1221,fall
MACT,1221,spring
MACT,1930,fall
MACT,1930,spring
MACT,2123,fall
MACT,2123,spring
MACT,2124,fall
MACT,2124,spring
MACT,2131,fall
MACT,2131,spring
MACT,2132,fall
MACT,2132,spring
MACT,2141,fall
MACT,2141,spring
MACT,2222,fall
MACT,2222,spring
MACT,3224,fall
MACT,3224,spring
MACT,4950,summer
MACT,4950,winter
MACT,4980,fall
MACT,4980,spring
MENG,2112,fall
MENG,2112,spring
MENG,2505,fall
MENG,2505,spring
MENG,3207,fall
MENG,3207,spring
MENG,3209,fall
MENG,3209,spring
MENG,3217,fall
MENG,3217,spring
MENG,3402,fall
MENG,3402,spring
MENG,3446,fall
MENG,3502,fall
MENG,3502,spring
MENG,3505,fall
MENG,3505,spring
MENG,3506,fall
MENG,3506,spring
MENG,3601,fall
MENG,3601,spring
MENG,3602,fall
MENG,3602,spring
MENG,3605,fall
MENG,3605,spring
MENG,3705,fall
MENG,3705,spring
MENG,4208,fall
MENG,4208,spring
MENG,4221,spring
MENG,4225,spring
MENG,4226,fall
MENG,4227,spring
MENG,4229,spring
MENG,4239,spring
MENG,4440,fall
MENG,4440,spring
MENG,4444,fall
MENG,4444,spring
MENG,4445,fall
MENG,4445,spring
MENG,4507,fall
MENG,4507,spring
MENG,4551,spring
MENG,4553,fall
MENG,4555,fall
MENG,4558,fall
MENG,4606,fall
MENG,4606,spring
MENG,4661,fall
MENG,4662,fall
MENG,4665,spring
MENG,4666,fall
MENG,4667,spring
MENG,4756,spring
MENG,4778,fall
MENG,4779,spring
MENG,4920,fall
MENG,4920,spring
MENG,4931,spring
MENG,4950,fall
MENG,4980,fall
MENG,4980,spring
MENG,4981,fall
MENG,4981,spring
MENG,5230,spring
MENG,6255,fall
MEST,5201,fall
MEST,5202,spring
MEST,5281,fall
MEST,5281,spring
MGMT,3201,fall
MGMT,3201,spring
MGMT,3301,fall
MGMT,3301,spring
MGMT,5202,fall
MGMT,5202,spring
MGMT,5302,spring
MKTG,2101,fall
MKTG,2101,spring
MKTG,3201,fall
MKTG,3201,spring
MKTG,3202,fall
MKTG,3202,spring
MKTG,3301,fall
MKTG,3301,spring
MKTG,4602,fall
MKTG,4602,spring
MKTG,5201,fall
MKTG,5201,spring
MOIS,2101,fall
MOIS,2101,spring
MOIS,3201,fall
MOIS,3201,spring
MOIS,3301,fall
MOIS,3301,spring
MOIS,3601,fall
MOIS,3601,spring
MOIS,3701,fall
MOIS,3701,spring
MOIS,4202,spring
MOIS,4999,fall
MOIS,4999,spring
MOIS,5201,fall
MOIS,5201,spring
MOIS,5301,fall
MOIS,5301,spring
MRS,5100,fall
MRS,5101,fall
MRS,5112,spring
MRS,5204,spring
MRS,5299,fall
MRS,5299,spring
MUSC,1800,fall
MUSC,1800,spring
MUSC,2200,fall
MUSC,2200,spring
MUSC,2400,fall
MUSC,2400,spring
MUSC,2620,fall
MUSC,2620,spring
MUSC,2640,fall
MUSC,2640,spring
MUSC,2660,fall
MUSC,2660,spring
MUSC,2850,spring
MUSC,3900,fall
MUSC,3900,spring
MUSC,4800,fall
MUSC,4800,spring
NANO,5221,fall
OPMG,3201,fall
OPMG,3201,spring
OPMG,4202,fall
OPMG,4202,spring
OPMG,4203,fall
OPMG,4204,spring
OPMG,4301,fall
OPMG,4301,spring
OPMG,5202,fall
OPMG,5202,spring
PENG,2011,fall
PENG,2011,spring
PENG,2411,fall
PENG,2411,spring
PENG,2415,fall
PENG,2415,spring
PENG,3011,fall
PENG,3011,spring
PENG,3022,fall
PENG,3022,spring
PENG,3111,fall
PENG,3111,spring
PENG,3411,fall
PENG,3411,spring
PENG,3413,spring
PENG,3415,fall
PENG,3415,spring
PENG,3420,fall
PENG,3420,spring
PENG,4421,fall
PENG,4421,spring
PENG,4422,fall
PENG,4422,spring
PENG,4423,fall
PENG,4423,spring
PENG,4428,fall
PENG,4428,spring
PENG,4429,fall
PENG,4429,spring
PENG,4950,fall
PENG,4950,spring
PENG,4980,fall
PENG,4980,spring
PENG,4981,fall
PENG,4981,spring
PHIL,5117,fall
PHYS,1001,fall
PHYS,1001,spring
PHYS,1012,fall
PHYS,1012,spring
PHYS,1012,summer
PHYS,1021,fall
PHYS,1021,spring
PHYS,1021,summer
PHYS,1022,fall
PHYS,1022,spring
PHYS,1022,summer
PHYS,2041,fall
PHYS,2041,spring
PHYS,2042,fall
PHYS,2042,spring
PHYS,2212,fall
PHYS,2212,spring
PHYS,2212,summer
PHYS,2213,fall
PHYS,2213,spring
PHYS,2221,fall
PHYS,2221,spring
PHYS,2222,fall
PHYS,2222,spring
PHYS,3023,spring
PHYS,3031,spring
PHYS,3052,fall
PHYS,3052,spring
PHYS,3223,spring
PHYS,3232,fall
PHYS,3232,spring
PHYS,3241,spring
PHYS,4042,spring
PHYS,4051,fall
PHYS,4224,fall
PHYS,4225,fall
PHYS,4231,spring
PHYS,4233,fall
PHYS,4234,fall
PHYS,4234,spring
PHYS,4281,fall
PHYS,4281,spring
PHYS,4980,fall
PHYS,4980,spring
PHYS,4981,fall
PHYS,4981,spring
PHYS,5032,spring
PHYS,5043,fall
PHYS,5043,spring
PHYS,5061,fall
PHYS,5235,fall
PHYS,5242,fall
PHYS,5277,fall
PHYS,5282,spring
PHYS,5930,fall
PHYS,5930,spring
PHYS,6025,fall
PHYS,6025,spring
PHYS,6225,fall
PHYS,6225,spring
PHYS,6243,fall
PHYS,6243,spring
PHYS,6930,fall
PHYS,6930,spring
POLS,1001,fall
POLS,1001,spring
POLS,2003,fall
POLS,2003,spring
POLS,3201,fall
POLS,3201,spring
POLS,3202,fall
POLS,3202,spring
POLS,3401,fall
POLS,3401,spring
POLS,3408,fall
POLS,3408,spring
POLS,3510,fall
POLS,3510,spring
POLS,3620,fall
POLS,3620,spring
POLS,4000,fall
POLS,4035,fall
POLS,4104,fall
POLS,4371,fall
POLS,4371,spring
POLS,4372,spring
POLS,4375,fall
POLS,4378,fall
POLS,4378,spring
POLS,4403,fall
POLS,4425,fall
POLS,4435,spring
POLS,4525,spring
POLS,4526,fall
POLS,4551,spring
POLS,4609,fall
POLS,4609,spring
POLS,4610,fall
POLS,4610,spring
POLS,4611,fall
POLS,4611,spring
PPAD,3198,spring
PPAD,5111,fall
PPAD,5114,fall
PPAD,5123,fall
PPAD,5126,spring
PPAD,5132,spring
PPAD,5134,fall
PPAD,5135,spring
PPAD,5198,fall
PPAD,5198,spring
PPAD,5201,spring
PPAD,5202,spring
PPAD,5211,fall
PPAD,5212,fall
PPAD,5221,spring
PPAD,5224,spring
PPAD,5231,fall
PPAD,5232,spring
PPAD,5298,fall
PPAD,5298,spring
PSYC,1000,fall
PSYC,1000,spring
PSYC,2000,fall
PSYC,2000,spring
PSYC,2201,fall
PSYC,3002,fall
PSYC,3002,spring
PSYC,3003,fall
PSYC,3003,spring
PSYC,3010,fall
PSYC,3010,spring
PSYC,3011,fall
PSYC,3011,spring
PSYC,3040,fall
PSYC,3040,spring
PSYC,3080,fall
PSYC,3080,spring
PSYC,3202,fall
PSYC,3270,fall
PSYC,3270,spring
PSYC,3420,fall
PSYC,3420,spring
PSYC,3800,fall
PSYC,3800,spring
PSYC,4002,fall
PSYC,4002,spring
PSYC,4030,fall
PSYC,4030,spring
PSYC,4062,fall
PSYC,4062,spring
PSYC,4063,spring
PSYC,4150,fall
PSYC,4150,spring
PSYC,4203,spring
PSYC,5203,fall
RCSS,5242,fall
RHET,1000,fall
RHET,1000,spring
RHET,1000,summer
RHET,1010,fall
RHET,1010,spring
RHET,1100,fall
RHET,1100,spring
RHET,1100,summer
RHET,2010,fall
RHET,2010,spring
RHET,2010,summer
SCI,1005,fall
SCI,1005,spring
SCI,1009,fall
SCI,1009,spring
SCI,1015,fall
SCI,1015,spring
SCI,1015,summer
SCI,1015,winter
SCI,1020,fall
SCI,1020,spring
SCI,2004,fall
SCI,2004,spring
SCI,2005,fall
SCI,2005,spring
SCI,2015,fall
SCI,2015,spring
SOC,2005,fall
SOC,2005,spring
SOC,2101,fall
SOC,2101,spring
SOC,2201,fall
SOC,2301,fall
SOC,2302,spring
SOC,3102,fall
SOC,3103,fall
SOC,3104,spring
SOC,3105,spring
SOC,3202,fall
SOC,3303,spring
SOC,3304,fall
SOC,4025,fall
SOC,4035,fall
SOC,4106,fall
SOC,4106,spring
SOC,4107,spring
SOC,4203,spring
SOC,4405,fall
SOC,4405,spring
SOC,4499,fall
THTR,1200,fall
THTR,1200,spring
THTR,1201,fall
THTR,1201,spring
THTR,2201,fall
THTR,2201,spring
THTR,2201,summer
THTR,2211,fall
THTR,2211,spring
THTR,2211,summer
THTR,2301,fall
THTR,2301,spring
THTR,2401,fall
THTR,2401,spring
THTR,3211,fall
THTR,3211,spring
THTR,3301,fall
THTR,3403,summer
THTR,3403,winter
THTR,3501,fall
THTR,3503,spring
THTR,3601,fall
THTR,3601,spring
THTR,4000,fall
THTR,4000,spring
THTR,4103,spring
THTR,4705,fall
THTR,4705,spring
TVDJ,5203,spring
TVDJ,5237,fall
TVDJ,5239,fall
TVDJ,5239,winter
